Frosinone,3.80,AS Roma,1.90,Roma,18.02.2024
Lecce,6.25,Inter,1.49,Inter Milan,25.02.2024
Salernitana,2.70,Monza,2.60,Salernitana,24.02.2024
Sassuolo,2.05,Empoli,3.50,Sassuolo,24.02.2024
Bologna,1.65,Verona,5.50,Bologna,23.02.2024
AC Milan,2.30,Atalanta,2.90,AC Milan,25.02.2024
Genoa,2.30,Udinese,3.20,draw,24.02.2024
Torino,2.40,Lazio,3.20,Lazio,22.02.2024
Juventus,1.36,Frosinone,8.25,Juventus,25.02.2024
Cagliari,3.80,Napoli,1.93,Napoli,25.02.2024
Cagliari,3.50,Lazio,2.15,Lazio,10.02.2024
AS Roma,4.20,Inter,1.90,draw,10.02.2024
Sassuolo,3.25,Torino,2.20,draw,10.02.2024
Bologna,1.72,Lecce,5.25,Bologna,11.02.2024
Genoa,3.60,Atalanta,2.10,draw,11.02.2024
Monza,2.10,Verona,3.60,draw,11.02.2024
Fiorentina,1.51,Frosinone,6.00,Fiorentina,11.02.2024
AC Milan,1.95,Napoli,3.70,AC Milan,11.02.2024
Juventus,1.43,Udinese,7.75,Juventus,12.02.2024
Bologna,2.35,Fiorentina,3.10,Bologna,14.02.2024
Lens,1.82,Freiburg,4.20,Lens,15.02.2024
AC Milan,1.65,Rennes,5.00,AC Milan,15.02.2024
Feyenoord,2.00,AS Roma,3.70,Feyenoord,15.02.2024
Benfica,1.37,Toulouse,8.25,Benfica,15.02.2024
Young Boys,3.70,Sporting CP,1.93,Sporting Lisbon,15.02.2024
Galatasaray,1.71,Sparta Prague,4.75,Galatasaray,15.02.2024
Shakhtar Donetsk,3.10,Marseille,2.25,draw,15.02.2024
Braga,1.39,Qarabag,7.50,Braga,15.02.2024
Salernitana,2.45,Empoli,2.95,Empoli,09.02.2024
Metz,2.25,Lorient,3.30,Lorient,04.02.2024
Lyon,2.75,Marseille,2.50,draw,04.02.2024
Brest,2.45,Nice,2.90,draw,04.02.2024
Reims,1.73,Toulouse,4.60,draw,04.02.2024
Nantes,3.20,Lens,2.20,draw,03.02.2024
Rennes,1.63,Montpellier,5.25,Rennes,03.02.2024
Strasbourg,5.75,PSG,1.51,PSG,02.02.2024
Monaco,1.47,Le Havre,6.25,Monaco,04.02.2024
Lille,1.39,Clermont,8.00,Lille,04.02.2024
Marseille,1.32,Metz,10.00,Marseille,09.02.2024
Lens,1.58,Strasbourg,5.75,draw,10.02.2024
PSG,1.51,Lille,5.75,PSG,10.02.2024
AS Roma,1.47,Cagliari,6.75,AS Roma,05.02.2024
Aston Villa,2.05,Manchester Utd,3.20,Manchester United,11.02.2024
Crystal Palace,3.90,Chelsea,1.90,draw,12.02.2024
West Ham,5.50,Arsenal,1.57,Arsenal,11.02.2024
Tottenham,1.85,Brighton,3.70,Tottenham Hotspur,10.02.2024
Wolves,2.05,Brentford,3.40,draw,10.02.2024
Luton,1.73,Sheffield Utd,4.60,Luton Town,10.02.2024
Fulham,2.30,Bournemouth,2.90,draw,10.02.2024
Liverpool,1.17,Burnley,15.00,Liverpool,10.02.2024
Manchester City,1.21,Everton,12.50,Manchester City,10.02.2024
Nottingham,3.60,Newcastle,1.98,Newcastle United,10.02.2024
Manchester City,1.16,FC Copenhagen,16.50,Manchester City,06.03.2024
Real Madrid,1.63,RB Leipzig,4.80,Real Madrid,06.03.2024
Frosinone,4.75,AC Milan,1.66,AC Milan,03.02.2024
Udinese,2.30,Monza,3.10,Udinese,03.02.2024
